rating,clean_review,sentiment,rating_count
8.6,good fast charg data transfergood cabl compar local brandgood doesnt lastgood productgood productgood worth itveri good materi qualiti charg speed wattnot fast charger cabl effici fast charg quick data transfer overal finei like usb c l shape nylon shield core wire improv life cablei think buy everi month fast charg stop work probbl someth cabl design cabl get twist time suspect break high capac wire insid keep buy arent mani option l shape designgood durabl product sometim charg doesnt work adapt might cut someth work fine appl adapt car charger usbth product realli good afford pricegood fast charg valu money watnot fast charger slow charg w lshape pin use,Positive,13391
8.4,good productgood onenicer nice productveri first time changegoodfin product could betterveri nice charg like jet good productlong wirecharg goodnicei bought cabl rs worthi product price test variou charger adapt w w support fast charg wellgoodoki got good price sale amazon product use warranti warranti need go far practic cost mine micro type c connector stop work day onlyi like product,Positive,94363
8.8,quit good valu moneywork wellhdmi cablevalu moneyal goodget job donedeliveri goodthi one need purchas use day experi pretti good pictur qualiti also bad dont expect someth world price point go tight budgetiniti impress work said glad didnt go cheaper option costli plug play updat screw upth hdmi cabl good watch moviesport give better qualiti connect laptop tv play love itwork expect length cabl short mention also satisfi requir need length better look optionsal goodit best hdmi cabl price rang problem yet go expect deliv time deliv timeproduct good tri cabl wire amazon basica brandgood one,Positive,"4,26,973"
8.4,worksnic productfast charg originalgood data transferaverag cost effectivegood qualitygreat productnic definit isnt good origin cord work fast charg pretti sturdyworth itso faulti cabl lazi lot money instead call appl bought like buck didnt expect much surpris cabl actual work fast charg go itfelt quit sturdi connector look premium easi insert use cabl switch data iphon ms cabl work like charm use smart switch app data includ whatsapp data transfer success satisfi performancejust goodqual goodwork smoothli use portron pd chargerthi real fast charg cabl serv purposeveri good,Positive,2262
8.2,great butwork well six month that itcompat appl ipad nd gener charg wellcableth product good phone get disconnect multipl occasionsnot fast charg cablegood item valueamaz product valu money loos charg cabl appl costli affair wire great purchas made correct itwork well six month that stop work plan buy one price come good product compat ipad nd gener charg well qualiti product good also work fine total worth priceproduct superim use last month till good function notic phone get disconnect multipl occas might cabl may damagedoveral work well monthtak hour charg fullgood item valueit best product use till,Positive,4768
8.8,good productus product month done face problem far build qualiti besti realli like oneveri strong support fast charg nice cablebest data cabl charg fastgood jobgood need improv like best charg power use cabl note pro mi use month also fast work might littl expens physic good feel premium power limit suitabl fast charg data cabl charg fastveri good qualiti good durabilityoveral good need improv,Positive,18757
8.4,best tv get kgood price os lagsgarbag qualitygood productgood qualitygreat experi everyth fantast super pictur qualiti sound qualityawesom pro xiomi best budgetnic pictur qualityveri nice audio output full featurecon sometim tv lagssometim stucksin prize rang tv con like thisoveral nice tvthe product price rang good run android lag hope updat lag problem resolveduseless product useless qualiti display issu within month servic center upto mark go better brand qualiti assur would wish option neg starsus connect tv pictur good hop best level song globali good product evergood qualitygood,Positive,32840
8,good braid cabl type c devicegood qualiti product ambranesup cableasgood qualitygood productit goodgood qualiti price one issu unit order cabl connect phone android auto car cabl realli strong connect port realli well made alreadi micro usb cabl ambran still good shape connect phone car use cabl got connect well issu also connect charg port ye fast charg supportit qualiti good price main thing didnt ever thought cabl long good one charg power good also support fast chargingvalu money extra lengthgood work fineproduct qualiti goodgoodveri goodbought daughter old phonebrand new cabl charg alreadi repack request replacementi check green colour pastefungu insid micro usb connector clean alcohol start work againcheck amper charg speed got around mama bad came braid long cabl pretti impress pricec blame manufacturerbut qualiti issu distributor might store humid place,Positive,43994
8.2,good charg data transfergood qualiti less power deliveryfantasticgoodnot usefuldoesnt fit properlyc support oppo mobil fast charg check offera buyingw charg cableawesom cablecharg data transfer durabl simpli awesom singl disconnect issu alway face origin mi cabl box bought time last cabl damag phone fell usb cabl port phone heavi never face issu bought one time didnt went replac wast time energi also boat earphon also awesomegoodcharg slow forget fast charg use allcabl fit properli samsung galaxi type c port littl hit happen cabl plug otherwis length cabl qualiti niceboat type c cabl doesnt support fast charg oppo f earlier use vooc cabl work excel,Positive,13045
8.6,sound qualityveri nicevalu moneygoodgood pricegood itembudget friendlygood lg alway good correct deliveri good servic sound qualiti poor speaker fit tv clear sound problemgood videogood vicepictur qualiti awesomegood priceokay product os lag year use best get price tag come withi like itbest one come bugdet easi instal handi featuresgood,Positive,11976
9,good cabl cargood substitut orginalbett valu money productway better originalabsolut amazingnamm hi kafi haiveri gooda name say durabl cell durabl cabl trust product work well car playveri good qualiti charg fine good originalbuild qualiti awesom best lighten cabl ever seen better offici lighten ur look cabl close eye go buy amazon basic one use past year bit cheaper side recommend cabl better build qualiti valu moneygr product overalljust love good charg speedgood qualityit well pack seal coveredth wire look good qualityrecommend,Positive,815
7.4,good product averag finishingsav purpos well without issu satisfiedno issuesno need put aux cabl connect audio secondari monitorgood productnot badgoodwork month connector provid boon old samsung lcd monitor proactiv use monitor nd screen finish product improv would better purchas optionsav purpos well without issu satisfiedwork finego itit work properli good product poor qualityi buy product mani review product much clear get job done buy get display much clear still price good compar productsgoodit work realli well month start show cheap chines side display keep disconnect randomli come back headach readwork extern monitor sinc keep disconnect extern monitor reconnect,Negative,10962
8.6,goodsound low anoth brand compar betterservic provid meet home refus tv use bad servicegood productok superfloor stand come gooda budget friendli tv clumsi ui remot overal goodtv pictur ok smart bettersound low anoth brandservic provid refus instal tv bad servic samsung call time servic provid meet home addresswhi bad badthey product come support stand wall hang hook instal tvpictur qualiti poor cablesfloor stand come buy seper request amazon cleari mention add pay seper charg instal guy buy floor mount good,Positive,16299
8,work iphon didnt work xrgood onedul physic looksjust buy itgo itabout productget charg cabl pricework well work iphon didnt work iphon xr didnt like still use workproduct quit good fast charginglov iti like look last longth sturdi depend manner use speed charg great good product averag incom groupit great charg devic variou type port work best charg one devic timegood item,Positive,9378
8.6,wonder tv aw instal servic amazonac televis reviewit good product pricegood pricealmost complet packagenic productgood productsup design tv wonderfulprob best tv price rang inrgood googl interfac load featur lightweight watt power consumpt stabl designaverag sound pictur qualiti quit good compar premium brand obvious goodfeatur stream app avail compat connect wifi lan cabl hdmi set top box laptop usb game consol old dish cabl direct tv antenna well built chromecast cast compat app directli phone tv wifi networkway connect phone via cast featur mobil app password need need wifi network via chromecast app project select media pic video entir phone screenway connect pclaptop window cast option project entir laptop screen tv use window cast option need connect wifi network via hdmi cableabout amazon instal servic aw technician brought cheap hang hook mrp inr ask inr without receipt kept tell sale compani sent special howev clearli mrp mention went market bought much better cabinet inr instal well technician realli adam drill two requir hole top drill one top one bottom kept spare screw bought half hour argument final drill requir hole kept cuss wast time assist person repres servic agenc wellthi whole process took two hour complet lot argument worst instal experi life farbottomlin pleas avail call free instal servic amazon scam instead call acer support job much betteraft use month pro conspro great pictur qualiti awesom black good adjust sound db good look great thin besel remot come favorit ott button content upscal goodcon remot could better cant use dth remot turn televisison set top box remot oper bit complex motion technolog great notic blur watch move ballson ott decreas switch dthoveral nice buy price point think get fairli better pictur qualiti sound satisfi productproduct good pictur qualiti good product price w sound applic run smoothli month older issu yet run smoothlyy get decent featur price pay screen resolut might set back may find pixal overal goodi amaz pictur qualiti p hd readi tv truli amaz panel found suitabl view distanc feet nearer may look crisp farther feel like small size speaker also good price get loud without distort howev sinc speaker downward fire experi vari base whether tv wall mount kept standth remot good voic search work well tv start take long time opinion compar inch tv henc know stand among peer ghz wifi work well even across wall neg aspect face wrt experi use bluetooth headphonesearphon firstli connect sometim doesnt happen automat restart mean remov rediscov devic thru menu simpl secondli signal seem weak even distanc feet front tv signal break even move head incheshowev still super happi tv got k launch offer total worth recommend sideat price rangeit good qualiti product marketac work sound qualiti improv otherwis okpictur qualiti realli impressivewifi connect goodeasi installboderless screen design premium also googl voic support goodsometim laggingno major issu found tvjust go itvellu money good productveri nice productsav money,Positive,4703
8.4,cheap product perform jobgoodno boxgoodvalu moneya good qualiti cabl rubust built workvalu moneygood product signal unstabl connect need bit adjust unplug move wire get proper signal job go want experi hdmi wasnt sure would work otherwis go good qualiti bread cablegood productth cabl come box box ship without packag brand mention pay hi qualiti product expect certain qualiti still idea hi speed k cabl notgoodbought connect cp monitor cctv mi android tv ok qualiti pricei give reason amazon deliveri super fast day deliveri within hour deliveri person good robust built qualiti look feel premium work excel im use lapptop big screen tv connect could see undistort pictur sound nice worka word con feel littl hard adjust bend per requir less flexibl may seriou concernoveral nice experi fargood joblik,Positive,12153
8.4,worthi afford great tvgood productit realli worth money butbett product budgetproduct reviewnic tvbest productbudget friendli tv oneplu tv great want afford middl rang featur tv got offer total worth itpro sound awesom satisfi qualiti sound dolbi audio w speaker realli great sure afford tv size slim slim look stylish light weight handi instal easi instal mount wall tye softwar instal set easi anyon home get integr mobil app remot wifi network quickli easili overal sign process app instal quick automat support smart featur like netflix prime youtub easili instal signin start use quickli also easi scan setup box channel start view themcon pictur qualiti p averag clear worth price rang ill complaint cost tv afford qualiti justifi bluetooth wifi connect disconnect sometim caus issu encount disconnect issu reset complet devic complet sign againrest good love product feel worth order look someth medium rang need old parent dont extens smart use go thisif want use lot smart featur ott platform watch movi sport go better version full hd k qualiti tv give good experi sport due less pictur qualiti good daili famili show tv channelson last thing want express im ver disappoint thisi got order deliv friday schedul instal saturday nobodi turn day reschedul tuesday morn even today nobodi turn got call amazon reschedul tuesday even still nobodi turn upthi bad irrespons servic oneplu amazon im disappoint servic highli critic behavior compani alway take care custom satisfact fail thiswhat guy expect us wait day get tv instal even deliv wait guy come mani day even im smart tv deliv home wait enjoy guy done job properlyat least keep decenc respect custom pay big amount order big item compani take care money spent worth face issu highli disappoint behavior servicegood productconnect fasterbut perform littl bit slowerth biggest problem face dont aux cabl im abl connect sound barth hdmi port useless wont work soi connect via bluetooth problem wont connect automat everytim tv need connect manual basic featur provid tv anoth drawback fast begin month super laggi even updat sameyeaa price rang pictur qualiti outstandingthat allgood qualiti pictur volum littl bit low product nice budget friendli im happi day tv perform slowli remot sentencethank amazon oneplu sound good easi instal slim less weight voic recognit goodlikebudgetfriendlydislikewifi connect rang poormani time get disconnectedcolor depth good,Positive,34899
8,ok cablethre pin hybrid wiresturdynicegoodso goodcarplay support product seem work good fast charg cabl three port connect slower im charg good singl cabl three port ok product yiu look fast charg would say think twice buyi use foe sure fast charg cabl tge lightn charger work properli everi check charg iphon unplug repli charg get disconnect dont understand cabl oki use type c commonli depend devic power wat also etcnic chargercharg bit slow u connect multipl devicescannot transfer dataonli charg purposeso nice colour cheap bestth cabl look decent charg fit support appl car play,Positive,2766
8.8,good productus spare cabl carsturdi durabl fast charginggood brandit like origin appl cableon best wire super well build qualiti product worth moneygood product fast chargingc seem good qualiti use much keep backup carit good sturdi durableit support fast chargingonli thing littl expensivenic producti write review day usag product found durabl sturdi also good travel keep bag without kind box would recommend allbest wire type c light connector go buy worth moneyvalu moneyi happi product qualiti good durabl,Positive,184
8.6,buy dont even nd guess itqual goodnylon braid quiet sturdyamazingfeel like steel har wire strongsturdi durabl use charg power banksgoodnic qualiti one amaz cabl bucksok charg look sturdi durablefast charg upto watt length realli durablebought like th time pass older cabl famili member still work statei bought almost last three year post heavi usag gonna buy good qualitygood qualiti usb c charg cabl enabl fast charg samsung well g w seek phone metr cabl length help keep phone desk charg adaptor plug electr outlet best valu similar cabl cost x x retail market best pricegreat product want portabl batteri usb slot ipad kindl reader usbc port fit requir perfectli charg fastgoodveri good overal,Positive,20850
9,nicegoodpaisa vassolsturdi longgood price great qualitywork expectedgoodgood suffici lengthexcel build qualiti good altern gener cablesstrong cabl cabl end nearli like rubber gold coat cabl also high thicknesswhi bought dvr rack dvr far reach limit henc need mous connect usb port dvr rack reachani alternativeswireless mous didnt work well particular dvr lot lag henc resort usb port extend ampl lengthresult sturdi cabl abl connect dvr connect stabl amazon basic reliablethi cabl good devic need extens usb like printer tv game consol keyboard etcth build qualiti good cabl materi soft break connector gold plate rustbut rememb cabl give usb speed even connect usb portfor usb usb use behav usb type adirect femal malefunct extens length usbbuilt averag clothfibr braiderlength mentionedwork connect ye includ pcprinterconsol pen drive etc product per descriptiongood expect,Positive,74976
8,good productgood charg bad data transferwait get mexmum discountth cabl qualiti best charg pin right posit stand far supergoodgood issu designmain liya hai offer ye worth hai cabl build qualiti good normal charg great cabl doesnt support quick chargingwork charg applic hit missexampl extern keyboard doesnt work itbest qualiti length wire qute good durabl also good cabl awesom charg issu till braid cabl chanc damag less overal like product use cabl past day charg lg gthinq samsung sfe far supergoodseem durabl problem design pin long enough base pin thick couldnt insert phone charg port without remov caseov qualiti bht achhi hai bs jo braid materi use hua hai wo nylon nhi hai cotton type ka hai lekin cabl k hisaab se bht achhi hai majboot hai charg bhi thik hai main chapti wali buy ki thi jo photo dikh rhi hai lekin delev ye gol wali hui jo ki jada better look deti hai agar mile mt lena utn layak nhi hai,Positive,1934
8.6,great cabl charg speed could bettergooda good cableon best type c cablework intendeda good buy extra length help lotgoodok charg fast id expect mayb someth wrong unit howev cabl overal actual pretti decent materi great doesnt bend shape easili look feel premium length definit plusgooda sturdi cabl mobil chargingit month use charg cabl work well fe g thumb upbraid cabl sturdi built well long cabl add extra reach tangl freea good buy extra length help lotgood productok,Positive,974
8.6,goodgenuin productnot first charg cabilnic cabl known durabilitygot use type c c cabl xabl damagedth product genuin goodabdul kadirgood buy itreceiv good condit work properlythi price cabil good also shorti use month charg phone good way realli valu money recommend cabl cabl perfect charg devic support super fast charg use vehicl charger adapt sturdi durabl daili usebest cabl ever use amazon worth guy take itgood qualitybut price,Positive,355
7.8,metal pin lose strengthsahi h bs rupe ki diliveri charg good charg cablegood sturdi micro usb cabl good charg speedscheapest micro usb cabl marketboat better thisi bought rs best charg cabl mobilesgood good data cabl recommend purchaseth issu metal pin fix firmli becom looseotherwis issuemust purchas cabl sturdi fast charg cabl three outlet jobgood sturdi micro usb cabl good charg speed pleas dont rais pricesnic product simpla microusb cablebest pricegood one,Negative,1075
7.8,pretti goodaverag qualityveri good use usb cablegood usb cabl experi good long lastinggoodnic product usefulsturdi support w charg good productlikeveri good item strong use usb cablevalu moneythank amazon produc product use productsturdi support w charg,Negative,24871
8.8,goodworth buygreat valu pricegood productnic productreli worth itmuch sturdi durabl appl cablegood good budget mfi certifi lightli cabl price updat usag review month better origin one matter robust durabl better prospect charg far better durabl origin appl wire think buy blindli worth buy mfi certifi io devic damag small neg point packag qualiti productth charger great carri accessori travel without risk origin chargerpric also afford charg speed good good adaptor power bankgood product recommend thing see issu materi cabl thread peel stick velcro materi wise good product charg well like originalnicereli worth itth cabl ship box made appl felt less sturdi reliabl use one two time felt would break quickli light port order amazon basic cabl mile better appl mifi certifi,Positive,13552
8,worth itgood onerobust effectivegoodgoodit good product rupe neatli pack good qualiti builtnic productworth price job realli well complaint regard charg power price rs worth everi buck although cabl bit shorter origin one origin oneplu cabl around rs huge price differ job origin oneus c type charg suitabl adapt usb point serv purposesturdili built job well charg samsung galaxi quicker origin cabl hope stay go aheadlik charg speed dislik length ipad awesom foot long point think otherwis best cablegoodeveryth good includ connect stuffnic productim use carthi product nice worth amounti recommend anyon look kind cabl,Positive,576
8.4,decent product valu moneyvalu moneyimprov neededeveryth thing good except instal experienceoveral take aspect tv good within price pointtv instal serviceson among good tv marketpictur post week use productusag continu ott cabledish operatoraverag daili usag hoursth tv great valueformoney productinstal instal simpl amazon assist instal smooth time hasslefreepictur pictur qualiti great compar smooth soni lg samsung kind spec movi especi hire tv seri experi somewhat dilut time output hire wouldnt look like movi qualiti use watch like soni samsung lg etc howev time get use realiz differ see movi someon els better tvsound sound output decent wouldnt need addit support enhanc volum suchremot sleek sensit userfriendli exactli like amazon remoteo smart android tv work smoothli without much lag hiccup switch app one anoth take coupl second soni unless use perform look finestandalon first smart tv wouldnt find reason like qualiti would like hire begin great valu money product without doubthowev consid altern second tv own better one past hard time adjust itpictur qualiti good price didnt face lag ui brows app neg audio definit need sound bar u frequent movi watcher overal worth money u spend instal process aw amazon claim train profession visit instal neither train profession read instal manual instal wall mount took hour buy wall mount charg money demo given tv idea product thing make think twice thrice buy tv onlinescreen look amaz problem processor believ k content get stream devic observ green screen flickersnot often problem exist even remot control good take least sec react user actionreason believ processor bad k game use ps never encount problem screenif buy tv small town shop deliv instal immedi within coupl hour want buy tv amazon need wait deliv coupl day understand problem instal take much time instal end regret buy product like hungri food front cant eat order tv monday got deliv friday instal monday weekend concept weekend small town technician detail could reach get instal also share hour beforeregard product good qualiti good averag user heavi duti like game continu usag store challeng guessthi tv give good result within budget definit buy budget k import point like mention sale servic also instal part instal guy didnt arriv first day schedul even reschedul didnt came instal purpos strictli awar point tv got offer k discount icici card although product came defect dead pixel display bad period time even fault seller defect piec didnt got replac product total unfair deal amazon seller toofin verdict tv qualiti featur good servic seller amazon got poor inspit prime member seller dawntech electron privat limit give poor servic feel bad case amazon help thankyouteamalso ad tv instal servic product deliv unbox need subvendor get instal demo also depend thirdparti involv lessbad experi tv instal stuffpl look pictur qualiti good sound qualiti upto xpectat abl find real dolbi stereo effect remot upto mark pictur qualiti sound remot qualitygood qualiti pictur hang home screen,Positive,7298
8.4,product expectedc problem samsung galaxi ultra tabletqu servic goodit perfect definit neededworth buy cablejust awesom fast charg sturdi build qualiti absolut valu money product yr warranti go itgood type avail half prize make amazonc good well built support sort charg protocol samsung galaxi ultra seem issu fall back slower charg second two ultra fast charg plug work fine devic finequ yhe cabl good cabl work month duracel team respons replac item immedi servic good one problem thick pin must improvedth product upto expect worth price braid realli good may need buy anoth cabl againworth buy cabl durableit tough materi much durabl toosup fast charginglong last due sturdi strong build qualityabsolut valu money productplu yr warrantysometim bit difficult fold cabl due sturdi build ok look edgejust go ita real valu moneyveri sturdi price,Positive,462
9,function describedworkinggreat usb budgetgoodgoodit workswork casio ctx wellstil work month use satisfactorywork good also expensiveus audio transit yamaha mgxu sound mixer laptop live purpos excel qualitybought one half month work well satisfiedgood qualiti cheap pricegreat price work usb mic fantast well find usb b side bit loos compar origin oem cabl order sever pair least mic loos call unusablework casio ctx well,Positive,"1,07,687"
